排名,入选,代码,公司,现价,PE,ROE,质量,价值,动量,综合
1,✅,MRK,Merck & Comp,$115.16,15.8,36.9%,0.70,0.93,0.97,0.850
2,✅,JNJ,Johnson & Jo,$242.48,22.0,35.0%,0.60,0.83,0.94,0.771
3,✅,KO,Coca-Cola Co,$77.93,25.6,43.3%,0.77,0.67,0.74,0.729
4,✅,PEP,"Pepsico, Inc",$160.78,26.8,42.8%,0.73,0.63,0.71,0.696
5,✅,AAPL,Apple Inc.,$254.85,32.3,152.0,0.93,0.23,0.68,0.647
6,✅,LLY,Eli Lilly an,$984.25,42.8,101.2,0.83,0.13,0.90,0.644
7,✅,GOOG,Alphabet Inc,$301.52,27.9,35.7%,0.65,0.47,0.81,0.642
8,✅,GOOGL,Alphabet Inc,$301.81,27.9,35.7%,0.65,0.43,0.84,0.642
9,✅,HD,"Home Depot, ",$344.32,24.2,145.5,0.90,0.73,0.05,0.595
10,✅,ABBV,AbbVie Inc.,$225.37,95.1,6225.,1.00,0.03,0.58,0.584
11,✅,XOM,Exxon Mobil ,$153.51,22.9,11.1%,0.13,0.77,1.00,0.583
12,✅,NVDA,NVIDIA Corpo,$182.20,37.3,101.5,0.87,0.20,0.52,0.562
13,✅,MCD,McDonald's C,$325.24,27.2,nan%,0.50,0.57,0.61,0.554
14,✅,PG,Procter & Ga,$152.74,22.6,31.6%,0.53,0.80,0.21,0.516
15,✅,MA,Mastercard I,$503.96,30.5,209.9,0.97,0.27,0.11,0.501
16,✅,V,Visa Inc.,$310.02,29.1,54.0%,0.80,0.40,0.15,0.484
17,✅,JPM,JP Morgan Ch,$280.99,14.0,16.1%,0.30,0.97,0.18,0.463
18,✅,ACN,Accenture pl,$203.57,16.8,25.0%,0.43,0.90,0.06,0.463
19,✅,MSFT,Microsoft Co,$405.23,25.3,34.4%,0.57,0.70,0.02,0.442
20,✅,WFC,Wells Fargo ,$75.17,12.0,11.7%,0.17,1.00,0.19,0.425
