Date,Ticker,Action,Shares,Price,Cost,Proceeds
2015-02-02,TMO,BUY,41,121.88583267211912,5002.31645869644,
2015-02-02,ABBV,BUY,128,38.794031002044676,4970.60160422998,
2015-02-02,AVGO,BUY,645,7.744070180892943,4999.920191942624,
2015-02-02,KO,BUY,169,29.424068975448606,4977.640324507665,
2015-02-02,JNJ,BUY,67,73.91997650146483,4957.591064023742,
2015-02-02,GOOGL,BUY,189,26.43686043167114,5001.56318820743,
2015-02-02,WMT,BUY,215,23.19104698371887,4991.061176601056,
2015-02-02,AAPL,BUY,190,26.30096913719177,5002.181320202502,
2015-02-02,PEP,BUY,73,67.98546668243408,4967.902006885505,
2015-02-02,TSLA,BUY,355,14.076729559898375,5002.236232757686,
2015-02-02,MRK,BUY,121,41.312137260437005,5003.76737712139,
2015-02-02,CVX,BUY,76,65.56815004730224,4988.162582998565,
2015-02-02,MCD,BUY,71,69.7824278640747,4959.5069307276535,
2015-02-02,V,BUY,84,59.0378225326538,4964.136269835662,
2015-02-02,GOOG,BUY,190,26.181634910583494,4979.485143643874,
2015-02-02,NVDA,BUY,10610,0.4712449180781841,5004.908489390342,
2015-02-02,MA,BUY,64,77.69204772186278,4977.263345253416,
2015-02-02,XOM,BUY,89,55.57468420410156,4951.093041059203,
2015-02-02,LLY,BUY,85,58.774669780731195,5000.842778293513,
2015-02-02,COST,BUY,42,117.79199835968016,4952.211195037673,
2015-03-02,TMO,SELL,41,126.91805987548828,,5198.436814440124
2015-03-02,ABBV,SELL,128,38.56343729782105,,4931.183854146972
2015-03-02,AVGO,SELL,645,9.735834139823913,,6273.333407166237
2015-03-02,KO,SELL,169,30.502062086105347,,5149.693644059252
2015-03-02,JNJ,SELL,67,76.04958382415772,,5090.226794102348
2015-03-02,GOOGL,SELL,189,28.506857368469237,,5382.4082465980455
2015-03-02,WMT,SELL,215,22.672148448944093,,4869.637404606457
2015-03-02,AAPL,SELL,190,28.675555612564086,,5442.907210820789
2015-03-02,PEP,SELL,73,70.46168671417236,,5138.559427004448
2015-03-02,TSLA,SELL,355,13.14217723274231,,4660.807444705896
2015-03-02,MRK,SELL,121,39.671965873718264,,4795.50756284919
